id,match_id,location,period,possession,possession_team,under_pressure,home_team,home_team_flag,foul_committed_card,team,x,y,counterpress,index,play_pattern,min_index,sequence length,passes_in_sequence,competition,season,field
917e6a49-9024-47f3-a922-75cdbba8ab35,3878540,"[44.4, 28.4]",1,18,Lazio,True,Lazio,1,,Lazio,44.4,28.4,,429,Regular Play,421,8,2,Italy - Serie A,2015/2016,Foul_Won
d826866a-9e10-43ff-8a3e-756693feced9,3878540,"[37.9, 69.2]",1,24,Bologna,True,Lazio,0,,Bologna,37.9,69.2,,531,Regular Play,527,4,0,Italy - Serie A,2015/2016,Foul_Won
6e396a24-89ad-4cfd-aa0f-e83d2cfd9a35,3878540,"[54.6, 66.8]",1,29,Bologna,True,Lazio,0,,Bologna,54.6,66.8,,614,Regular Play,603,11,2,Italy - Serie A,2015/2016,Foul_Won
573fe274-ddd4-4536-a2aa-e04c2e599af6,3878540,"[29.6, 22.5]",1,46,Lazio,True,Lazio,1,,Bologna,29.6,22.5,,844,Regular Play,833,11,3,Italy - Serie A,2015/2016,Foul_Won
0e87cc02-91d8-46f9-a664-128bbadc4439,3878540,"[47.7, 16.0]",1,51,Lazio,True,Lazio,1,,Lazio,47.7,16.0,,1019,Regular Play,1015,4,0,Italy - Serie A,2015/2016,Foul_Won
543984fa-502d-4179-82a2-d2f0ce7b7fc7,3878540,"[72.4, 42.9]",1,53,Bologna,True,Lazio,0,,Bologna,72.4,42.9,,1110,From Goal Kick,1054,56,14,Italy - Serie A,2015/2016,Foul_Won
b944fc82-c144-42c9-91fc-044a7f32cd75,3878540,"[85.5, 45.1]",1,54,Bologna,True,Lazio,0,,Bologna,85.5,45.1,,1121,From Free Kick,1111,10,3,Italy - Serie A,2015/2016,Foul_Won
03d759d8-fc07-41a5-be11-4ad1e30aeef8,3878540,"[68.7, 8.4]",1,85,Bologna,True,Lazio,0,,Bologna,68.7,8.4,,1547,From Throw In,1527,20,6,Italy - Serie A,2015/2016,Foul_Won
8a0a23de-4fcc-496e-807d-39c167fabe2f,3878540,"[37.5, 53.7]",1,90,Bologna,True,Lazio,0,,Bologna,37.5,53.7,,1686,Regular Play,1673,13,3,Italy - Serie A,2015/2016,Foul_Won
05ca1ce5-3326-4bf5-bbe1-83229784d03e,3878540,"[46.4, 22.7]",2,114,Bologna,True,Lazio,0,,Bologna,46.4,22.7,,2192,Regular Play,2187,5,1,Italy - Serie A,2015/2016,Foul_Won
bb1e88a2-0b64-474e-9d83-be994eeda05b,3878540,"[81.9, 40.6]",2,125,Lazio,True,Lazio,1,,Lazio,81.9,40.6,,2380,Regular Play,2377,3,0,Italy - Serie A,2015/2016,Foul_Won
